,Unnamed: 0,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_prefill_duration_us,decode_in_isolation_us,prefill_in_isolation_us,baseline_avg_decode_duration_us,baseline_avg_prefill_duration_us,baseline_decode_in_isolation_us,baseline_prefill_in_isolation_us,avg_final_overlap_pct_nonzero
1373,1373,prefill_and_decode,16.0,8192.0,4.0,512.0,64.0,,9.741666666666667,3.675333333333333,13.417,119739.79933333334,14.232666666666669,120324.07966666669,11.079,97883.42966666666,11.426666666666666,98689.75233333332,0.0
1374,1374,prefill_and_decode,16.0,8192.0,4.0,512.0,96.0,,6.829000000000001,4.677333333333333,11.506333333333334,138968.4613333333,10.290333333333333,139642.52233333333,11.079,97883.42966666666,11.426666666666666,98689.75233333332,0.0
1375,1375,prefill_and_decode,16.0,8192.0,4.0,8192.0,128.0,,31.67233333333333,3.822000000000001,35.49433333333333,166045.92433333333,37.325333333333326,166930.547,38.074,97946.711,38.515,98689.75233333332,0.0
1376,1376,prefill_and_decode,16.0,8192.0,4.0,8192.0,160.0,,33.75733333333333,3.915333333333333,37.67266666666666,206334.782,38.368,207767.97066666663,38.074,97946.711,38.515,98689.75233333332,0.0
1377,1377,prefill_and_decode,16.0,8192.0,4.0,8192.0,32.0,,89.91199999999999,4.29,94.202,106192.42,94.95066666666668,107251.383,38.074,97946.711,38.515,98689.75233333332,0.0
1378,1378,prefill_and_decode,16.0,8192.0,4.0,8192.0,64.0,,60.93966666666668,4.2763333333333335,65.21600000000001,119747.03566666668,66.606,120324.07966666669,38.074,97946.711,38.515,98689.75233333332,0.0
1379,1379,prefill_and_decode,16.0,8192.0,4.0,8192.0,96.0,,31.899666666666665,3.835666666666667,35.73533333333333,138800.96866666665,36.403,139642.52233333333,38.074,97946.711,38.515,98689.75233333332,0.0
1380,1380,prefill_and_decode,16.0,8192.0,64.0,1024.0,128.0,,64.46766666666667,5.492666666666668,69.96033333333334,166061.908,71.59033333333332,166930.547,34.105,97952.05033333332,39.491,98689.75233333332,0.0
1381,1381,prefill_and_decode,16.0,8192.0,64.0,1024.0,160.0,,50.863,5.1450000000000005,56.008,206337.3223333333,60.03099999999999,207767.97066666663,34.105,97952.05033333332,39.491,98689.75233333332,0.0
1382,1382,prefill_and_decode,16.0,8192.0,64.0,1024.0,32.0,,265.2606666666667,11.278666666666666,276.53933333333333,106324.12433333334,273.1046666666667,107251.383,34.105,97952.05033333332,39.491,98689.75233333332,30.577847199037564
1383,1383,prefill_and_decode,16.0,8192.0,64.0,1024.0,64.0,,132.3563333333333,7.617333333333334,139.97366666666665,119842.15533333334,142.2853333333333,120324.07966666669,34.105,97952.05033333332,39.491,98689.75233333332,1.1961292825379493
1384,1384,prefill_and_decode,16.0,8192.0,64.0,1024.0,96.0,,80.42433333333332,5.839666666666666,86.26399999999998,138819.63433333335,88.322,139642.52233333333,34.105,97952.05033333332,39.491,98689.75233333332,0.0
1385,1385,prefill_and_decode,16.0,8192.0,64.0,2048.0,128.0,,96.46066666666668,5.385333333333333,101.846,165956.18366666668,104.78666666666668,166930.547,50.28833333333333,97908.51066666668,49.09933333333333,98689.75233333332,2.578268876611418
1386,1386,prefill_and_decode,16.0,8192.0,64.0,2048.0,160.0,,77.93833333333333,4.984666666666667,82.923,206423.492,87.05266666666667,207767.97066666663,50.28833333333333,97908.51066666668,49.09933333333333,98689.75233333332,0.0
1387,1387,prefill_and_decode,16.0,8192.0,64.0,2048.0,32.0,,418.5176666666667,11.252666666666665,429.7703333333333,106346.21866666668,423.68966666666665,107251.383,50.28833333333333,97908.51066666668,49.09933333333333,98689.75233333332,47.49625189364001
1388,1388,prefill_and_decode,16.0,8192.0,64.0,2048.0,64.0,,206.125,7.296333333333333,213.4213333333333,119717.791,214.304,120324.07966666669,50.28833333333333,97908.51066666668,49.09933333333333,98689.75233333332,23.91323589895918
1389,1389,prefill_and_decode,16.0,8192.0,64.0,2048.0,96.0,,124.05733333333336,5.893666666666667,129.95100000000002,139010.23066666667,132.022,139642.52233333333,50.28833333333333,97908.51066666668,49.09933333333333,98689.75233333332,2.273498473023414
1390,1390,prefill_and_decode,16.0,8192.0,64.0,256.0,128.0,,25.886,6.8823333333333325,32.76833333333333,165853.90133333334,32.48733333333333,166930.547,20.447333333333333,97848.13333333336,18.977,98689.75233333332,0.0
1391,1391,prefill_and_decode,16.0,8192.0,64.0,256.0,160.0,,21.356,6.334333333333333,27.69033333333333,206861.80333333332,27.53,207767.97066666663,20.447333333333333,97848.13333333336,18.977,98689.75233333332,0.0
1392,1392,prefill_and_decode,16.0,8192.0,64.0,256.0,32.0,,104.34566666666667,11.265666666666666,115.61133333333332,106332.349,115.05,107251.383,20.447333333333333,97848.13333333336,18.977,98689.75233333332,0.0
1393,1393,prefill_and_decode,16.0,8192.0,64.0,256.0,64.0,,53.48233333333334,7.31,60.79233333333334,119863.085,62.90366666666667,120324.07966666669,20.447333333333333,97848.13333333336,18.977,98689.75233333332,1.0651206687339896
1394,1394,prefill_and_decode,16.0,8192.0,64.0,256.0,96.0,,33.32933333333334,7.27,40.59933333333333,138957.205,41.36133333333333,139642.52233333333,20.447333333333333,97848.13333333336,18.977,98689.75233333332,0.0
1395,1395,prefill_and_decode,16.0,8192.0,64.0,4096.0,128.0,,165.726,5.439333333333334,171.16533333333334,166121.801,171.31199999999998,166930.547,74.28999999999999,97938.96766666666,73.90233333333333,98689.75233333332,13.985262464489736
1396,1396,prefill_and_decode,16.0,8192.0,64.0,4096.0,160.0,,132.70366666666666,5.065,137.76866666666666,206361.3506666667,139.185,207767.97066666663,74.28999999999999,97938.96766666666,73.90233333333333,98689.75233333332,3.73134328358209
1397,1397,prefill_and_decode,16.0,8192.0,64.0,4096.0,32.0,,727.9593333333333,11.773666666666664,739.7330000000001,106375.164,735.5096666666667,107251.383,74.28999999999999,97938.96766666666,73.90233333333333,98689.75233333332,77.01342475537909
1398,1398,prefill_and_decode,16.0,8192.0,64.0,4096.0,64.0,,357.9126666666666,7.617,365.5296666666666,119917.914,360.131,120324.07966666669,74.28999999999999,97938.96766666666,73.90233333333333,98689.75233333332,52.025295066450816
1399,1399,prefill_and_decode,16.0,8192.0,64.0,4096.0,96.0,,213.18066666666664,5.947333333333333,219.128,139060.83833333335,218.4596666666667,139642.52233333333,74.28999999999999,97938.96766666666,73.90233333333333,98689.75233333332,16.02861824524155
1400,1400,prefill_and_decode,16.0,8192.0,64.0,512.0,128.0,,42.61766666666667,6.000333333333334,48.61800000000001,166195.051,53.66966666666667,166930.547,25.578,97954.92433333331,26.073,98689.75233333332,0.0
