,_orig,Kind,Agent_Id,Queue_Id,Thread_Id,Dispatch_Id,Kernel_Id,Kernel_Name,Correlation_Id,Start_Timestamp,End_Timestamp,Private_Segment_Size,Group_Segment_Size,Workgroup_Size_X,Workgroup_Size_Y,Workgroup_Size_Z,Grid_Size_X,Grid_Size_Y,Grid_Size_Z,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,source_file,duration_us
39,375,KERNEL_DISPATCH,7,2,314146,47,273,kernel_unified_attention_2d,47,281084799623815,281084804849653,0,20480,256,1,1,196608,8,1,decode,1,1024,512,512,32,standalone_attn_decode_1.0_1024.0_512.0_512.0_32.0_kernel_trace.csv,5225.838
40,418,KERNEL_DISPATCH,7,2,180706,43,273,kernel_unified_attention_2d,43,269109828693233,269109829064362,0,20480,256,1,1,24576,8,1,decode,1,1024,64,256,32,standalone_attn_decode_1.0_1024.0_64.0_256.0_32.0_kernel_trace.csv,371.129
41,419,KERNEL_DISPATCH,7,2,180706,44,273,kernel_unified_attention_2d,44,269109829350416,269109829719259,0,20480,256,1,1,24576,8,1,decode,1,1024,64,256,32,standalone_attn_decode_1.0_1024.0_64.0_256.0_32.0_kernel_trace.csv,368.843
42,420,KERNEL_DISPATCH,7,2,180706,45,273,kernel_unified_attention_2d,45,269109829852083,269109830236443,0,20480,256,1,1,24576,8,1,decode,1,1024,64,256,32,standalone_attn_decode_1.0_1024.0_64.0_256.0_32.0_kernel_trace.csv,384.36
43,421,KERNEL_DISPATCH,7,2,180706,46,273,kernel_unified_attention_2d,46,269109830349622,269109830718145,0,20480,256,1,1,24576,8,1,decode,1,1024,64,256,32,standalone_attn_decode_1.0_1024.0_64.0_256.0_32.0_kernel_trace.csv,368.523
44,422,KERNEL_DISPATCH,7,2,180706,47,273,kernel_unified_attention_2d,47,269109830835694,269109831204297,0,20480,256,1,1,24576,8,1,decode,1,1024,64,256,32,standalone_attn_decode_1.0_1024.0_64.0_256.0_32.0_kernel_trace.csv,368.603
45,465,KERNEL_DISPATCH,7,2,247459,43,273,kernel_unified_attention_2d,43,276612375635654,276612376294722,0,20480,256,1,1,24576,8,1,decode,1,1024,64,512,32,standalone_attn_decode_1.0_1024.0_64.0_512.0_32.0_kernel_trace.csv,659.068
46,466,KERNEL_DISPATCH,7,2,247459,44,273,kernel_unified_attention_2d,44,276612376571194,276612377255279,0,20480,256,1,1,24576,8,1,decode,1,1024,64,512,32,standalone_attn_decode_1.0_1024.0_64.0_512.0_32.0_kernel_trace.csv,684.085
47,467,KERNEL_DISPATCH,7,2,247459,45,273,kernel_unified_attention_2d,45,276612377384775,276612378039874,0,20480,256,1,1,24576,8,1,decode,1,1024,64,512,32,standalone_attn_decode_1.0_1024.0_64.0_512.0_32.0_kernel_trace.csv,655.099
48,468,KERNEL_DISPATCH,7,2,247459,46,273,kernel_unified_attention_2d,46,276612378158586,276612378842751,0,20480,256,1,1,24576,8,1,decode,1,1024,64,512,32,standalone_attn_decode_1.0_1024.0_64.0_512.0_32.0_kernel_trace.csv,684.165
49,469,KERNEL_DISPATCH,7,2,247459,47,273,kernel_unified_attention_2d,47,276612378953966,276612379616401,0,20480,256,1,1,24576,8,1,decode,1,1024,64,512,32,standalone_attn_decode_1.0_1024.0_64.0_512.0_32.0_kernel_trace.csv,662.435
50,512,KERNEL_DISPATCH,7,2,206982,43,273,kernel_unified_attention_2d,43,270884615491385,270884616234445,0,20480,256,1,1,49152,8,1,decode,1,2048,128,256,32,standalone_attn_decode_1.0_2048.0_128.0_256.0_32.0_kernel_trace.csv,743.06
51,513,KERNEL_DISPATCH,7,2,206982,44,273,kernel_unified_attention_2d,44,270884616519219,270884617257429,0,20480,256,1,1,49152,8,1,decode,1,2048,128,256,32,standalone_attn_decode_1.0_2048.0_128.0_256.0_32.0_kernel_trace.csv,738.21
52,514,KERNEL_DISPATCH,7,2,206982,45,273,kernel_unified_attention_2d,45,270884617383793,270884618137558,0,20480,256,1,1,49152,8,1,decode,1,2048,128,256,32,standalone_attn_decode_1.0_2048.0_128.0_256.0_32.0_kernel_trace.csv,753.765
