,cu_mask,decode_batch_size,decode_len,prefill_len,prefill_batch,prefill_avg_time,decode_avg_time
478,64.0,32,2048,256,8,594.7866666666666,664.0383333333334
479,64.0,32,2048,256,16,1244.4206666666666,693.467
480,64.0,32,2048,256,32,2431.043,684.2856666666667
481,64.0,32,2048,512,1,280.57533333333333,657.1836666666667
482,64.0,32,2048,512,4,1082.2626666666667,678.5656666666666
483,64.0,32,2048,512,8,2165.0466666666666,699.2263333333334
484,64.0,32,2048,512,16,4363.250666666667,674.6773333333334
485,64.0,32,2048,1024,1,1085.0963333333332,674.169
486,64.0,32,2048,1024,4,4113.5053333333335,679.4213333333333
487,64.0,32,2048,1024,8,8219.193333333333,666.3913333333334
488,64.0,32,2048,2048,1,4090.4663333333333,681.7596666666666
489,64.0,32,2048,2048,4,15941.876666666665,664.3466666666666
490,64.0,32,2048,2048,8,31891.411,665.0683333333334
491,64.0,32,2048,4096,1,16098.582,664.7206666666666
492,64.0,32,2048,4096,4,62502.265666666666,665.71
493,64.0,32,4096,256,1,187.37533333333334,1299.7873333333332
494,64.0,32,4096,256,4,364.715,1305.1063333333332
495,64.0,32,4096,256,8,609.688,1302.848
496,64.0,32,4096,256,16,1238.9413333333332,1358.8026666666667
497,64.0,32,4096,256,32,2421.1933333333336,1321.5576666666668
498,64.0,32,4096,512,1,354.4506666666667,1303.6896666666667
499,64.0,32,4096,512,4,1091.3636666666666,1335.576
500,64.0,32,4096,512,8,2167.787,1336.03
501,64.0,32,4096,512,16,4354.163,1326.1943333333334
502,64.0,32,4096,1024,1,1077.412,1328.6273333333334
503,64.0,32,4096,1024,4,4151.098333333333,1331.246
504,64.0,32,4096,1024,8,8262.559,1310.0373333333332
505,64.0,32,4096,2048,1,4094.9836666666665,1328.9473333333333
506,64.0,32,4096,2048,4,15934.086,1306.5896666666667
507,64.0,32,4096,2048,8,31828.949666666667,1307.7256666666667
508,64.0,32,4096,4096,1,16106.187333333333,1307.2846666666667
509,64.0,32,4096,4096,4,62582.18466666666,1308.0463333333332
510,64.0,64,256,256,1,87.89466666666667,187.73566666666665
511,64.0,64,256,256,4,306.6213333333333,189.47333333333333
512,64.0,64,256,256,8,594.0123333333333,189.019
513,64.0,64,256,256,16,1225.1896666666667,191.23766666666666
514,64.0,64,256,256,32,2428.9976666666666,196.95733333333334
515,64.0,64,256,512,1,280.09433333333334,189.24633333333335
516,64.0,64,256,512,4,1077.639,189.13966666666667
517,64.0,64,256,512,8,2153.9553333333333,195.90166666666667
518,64.0,64,256,512,16,4354.63,193.36266666666666
519,64.0,64,256,1024,1,1071.973,189.47366666666665
520,64.0,64,256,1024,4,4129.381333333334,199.22933333333333
521,64.0,64,256,1024,8,8205.066333333332,189.72766666666666
522,64.0,64,256,2048,1,4081.271,197.599
523,64.0,64,256,2048,4,15955.092,189.80766666666665
524,64.0,64,256,2048,8,31821.942,189.76766666666666
525,64.0,64,256,4096,1,16039.071,189.66033333333334
526,64.0,64,256,4096,4,62402.84533333334,189.99433333333334
527,64.0,64,512,256,1,87.70766666666667,331.1443333333333
528,64.0,64,512,256,4,306.622,336.396
529,64.0,64,512,256,8,604.8236666666667,346.9803333333333
530,64.0,64,512,256,16,1229.1323333333332,342.45
531,64.0,64,512,256,32,2429.0243333333333,348.59766666666667
532,64.0,64,512,512,1,279.867,336.423
533,64.0,64,512,512,4,1079.9243333333332,336.824
534,64.0,64,512,512,8,2162.6013333333335,352.152
535,64.0,64,512,512,16,4349.739333333333,349.56
536,64.0,64,512,1024,1,1076.102,347.5416666666667
537,64.0,64,512,1024,4,4126.468666666667,350.749
538,64.0,64,512,1024,8,8218.378,337.0246666666667
539,64.0,64,512,2048,1,4074.1486666666665,348.504
540,64.0,64,512,2048,4,15978.186,336.9046666666667
541,64.0,64,512,2048,8,31828.359666666667,336.7573333333333
542,64.0,64,512,4096,1,16090.603333333334,336.677
543,64.0,64,512,4096,4,62429.88766666666,337.0776666666667
544,64.0,64,1024,256,1,90.72766666666668,619.417
545,64.0,64,1024,256,4,307.089,625.3506666666666
546,64.0,64,1024,256,8,595.4556666666666,631.1913333333333
547,64.0,64,1024,256,16,1217.0383333333332,645.958
548,64.0,64,1024,256,32,2426.0446666666667,646.265
549,64.0,64,1024,512,1,279.894,623.7066666666666
550,64.0,64,1024,512,4,1085.5373333333332,648.1503333333334
551,64.0,64,1024,512,8,2158.619,660.1506666666667
552,64.0,64,1024,512,16,4357.984666666667,640.9996666666666
553,64.0,64,1024,1024,1,1079.804,637.205
554,64.0,64,1024,1024,4,4128.687333333333,651.8116666666666
555,64.0,64,1024,1024,8,8219.634333333333,631.8053333333334
556,64.0,64,1024,2048,1,4069.124,642.884
557,64.0,64,1024,2048,4,15950.497,631.8593333333333
558,64.0,64,1024,2048,8,31916.696,632.18
559,64.0,64,1024,4096,1,16111.251,631.6453333333334
560,64.0,64,1024,4096,4,62469.92366666666,632.0596666666667
561,64.0,64,2048,256,1,184.26166666666666,1215.715
562,64.0,64,2048,256,4,363.2043333333333,1220.179
563,64.0,64,2048,256,8,595.2553333333334,1227.288
564,64.0,64,2048,256,16,1233.2216666666668,1257.21
565,64.0,64,2048,256,32,2442.9633333333336,1247.8823333333332
566,64.0,64,2048,512,1,354.264,1219.3366666666668
567,64.0,64,2048,512,4,1100.759,1251.6243333333332
568,64.0,64,2048,512,8,2176.527,1256.194
569,64.0,64,2048,512,16,4342.230666666667,1238.982
570,64.0,64,2048,1024,1,1081.074,1259.295
571,64.0,64,2048,1024,4,4133.1106666666665,1238.7143333333333
572,64.0,64,2048,1024,8,8207.099666666667,1220.2456666666667
573,64.0,64,2048,2048,1,4074.7373333333335,1242.8573333333331
574,64.0,64,2048,2048,4,15961.002,1220.5936666666666
575,64.0,64,2048,2048,8,31879.640333333333,1220.66
576,64.0,64,2048,4096,1,16130.656666666666,1219.2966666666669
577,64.0,64,2048,4096,4,62557.58433333333,1220.272
578,64.0,64,4096,256,1,379.8156666666667,2434.3303333333333
579,64.0,64,4096,256,4,550.9003333333334,2367.738
580,64.0,64,4096,256,8,813.8623333333334,2457.7433333333333
581,64.0,64,4096,256,16,1260.6976666666667,2401.2413333333334
582,64.0,64,4096,256,32,2441.3193333333334,2434.825
583,64.0,64,4096,512,1,540.811,2367.15
584,64.0,64,4096,512,4,1171.507,2480.9303333333337
585,64.0,64,4096,512,8,2197.5346666666665,2460.6573333333336
586,64.0,64,4096,512,16,4359.628666666667,2431.283
587,64.0,64,4096,1024,1,1134.676,2410.4486666666667
588,64.0,64,4096,1024,4,4129.328333333334,2514.874
589,64.0,64,4096,1024,8,8228.681666666667,2418.2266666666665
590,64.0,64,4096,2048,1,4091.535,2520.1393333333335
591,64.0,64,4096,2048,4,15990.546666666665,2441.199
592,64.0,64,4096,2048,8,31894.000333333333,2539.3433333333337
593,64.0,64,4096,4096,1,16106.264,2424.8683333333333
594,64.0,64,4096,4096,4,62471.90866666666,2537.1116666666667
595,64.0,128,256,256,1,87.68033333333332,372.8396666666667
596,64.0,128,256,256,4,305.8063333333333,378.306
597,64.0,128,256,256,8,594.2933333333334,378.3186666666667
598,64.0,128,256,256,16,1221.1136666666666,389.90566666666666
599,64.0,128,256,256,32,2422.743,391.0283333333333
600,64.0,128,256,512,1,281.5106666666667,379.2143333333333
601,64.0,128,256,512,4,1087.0606666666667,381.1123333333333
602,64.0,128,256,512,8,2173.5866666666666,393.21933333333334
