,prefill_batch,prefill_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_prefill_duration_us,avg_duration_2d_us_baseline,avg_duration_3d_us_baseline,avg_duration_reduce_segment_us_baseline,avg_prefill_duration_us_baseline
67,1,8192,160.0,13494.265666666666,,,13494.265666666666,6493.298666666667,,,6493.298666666667
68,1,8192,32.0,7153.061666666667,,,7153.061666666667,6493.298666666667,,,6493.298666666667
69,1,8192,64.0,7930.319666666667,,,7930.319666666667,6493.298666666667,,,6493.298666666667
70,1,8192,96.0,9221.902,,,9221.902,6493.298666666667,,,6493.298666666667
71,1,8192,304.0,6493.298666666667,,,6493.298666666667,6493.298666666667,,,6493.298666666667
72,4,1024,128.0,747.3636666666667,,,747.3636666666667,410.5396666666666,,,410.5396666666666
73,4,1024,160.0,903.6543333333334,,,903.6543333333334,410.5396666666666,,,410.5396666666666
74,4,1024,32.0,466.60099999999994,,,466.60099999999994,410.5396666666666,,,410.5396666666666
75,4,1024,64.0,519.8829999999999,,,519.8829999999999,410.5396666666666,,,410.5396666666666
76,4,1024,96.0,638.7683333333334,,,638.7683333333334,410.5396666666666,,,410.5396666666666
77,4,1024,304.0,410.5396666666666,,,410.5396666666666,410.5396666666666,,,410.5396666666666
78,4,2048,128.0,2743.972,,,2743.972,1652.835,,,1652.835
79,4,2048,160.0,3380.575666666667,,,3380.575666666667,1652.835,,,1652.835
80,4,2048,32.0,1821.0070000000003,,,1821.0070000000003,1652.835,,,1652.835
81,4,2048,64.0,2004.026,,,2004.026,1652.835,,,1652.835
82,4,2048,96.0,2313.5203333333334,,,2313.5203333333334,1652.835,,,1652.835
83,4,2048,304.0,1652.835,,,1652.835,1652.835,,,1652.835
84,4,256,128.0,71.457,,,71.457,37.793,,,37.793
85,4,256,160.0,71.18933333333334,,,71.18933333333334,37.793,,,37.793
86,4,256,32.0,39.784,,,39.784,37.793,,,37.793
87,4,256,64.0,56.36866666666666,,,56.36866666666666,37.793,,,37.793
88,4,256,96.0,54.564666666666675,,,54.564666666666675,37.793,,,37.793
89,4,256,304.0,37.793,,,37.793,37.793,,,37.793
90,4,4096,128.0,10568.167666666666,,,10568.167666666666,6217.360000000001,,,6217.360000000001
91,4,4096,160.0,13095.136666666667,,,13095.136666666667,6217.360000000001,,,6217.360000000001
92,4,4096,32.0,6852.426666666666,,,6852.426666666666,6217.360000000001,,,6217.360000000001
93,4,4096,64.0,7619.636333333333,,,7619.636333333333,6217.360000000001,,,6217.360000000001
94,4,4096,96.0,8882.846,,,8882.846,6217.360000000001,,,6217.360000000001
95,4,4096,304.0,6217.360000000001,,,6217.360000000001,6217.360000000001,,,6217.360000000001
96,4,512,128.0,215.2793333333333,,,215.2793333333333,128.15933333333334,,,128.15933333333334
97,4,512,160.0,244.466,,,244.466,128.15933333333334,,,128.15933333333334
98,4,512,32.0,124.79199999999999,,,124.79199999999999,128.15933333333334,,,128.15933333333334
99,4,512,64.0,156.70533333333333,,,156.70533333333333,128.15933333333334,,,128.15933333333334
100,4,512,96.0,185.9186666666667,,,185.9186666666667,128.15933333333334,,,128.15933333333334
101,4,512,304.0,128.15933333333334,,,128.15933333333334,128.15933333333334,,,128.15933333333334
102,4,8192,128.0,42112.10466666667,,,42112.10466666667,24487.51066666667,,,24487.51066666667
