,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_duration_2d_us_baseline,avg_duration_3d_us_baseline,avg_duration_reduce_segment_us_baseline,avg_decode_duration_us_baseline
76,1,2048,256,1024,224.0,463.701,,,463.701,462.9793333333334,,,462.9793333333334
77,1,2048,256,1024,32.0,4924.374333333333,,,4924.374333333333,462.9793333333334,,,462.9793333333334
78,1,2048,256,1024,64.0,2466.377,,,2466.377,462.9793333333334,,,462.9793333333334
79,1,2048,256,1024,304.0,462.9793333333334,,,462.9793333333334,462.9793333333334,,,462.9793333333334
80,1,2048,256,2048,128.0,2180.0006666666663,,,2180.0006666666663,907.7703333333334,,,907.7703333333334
81,1,2048,256,2048,160.0,907.1556666666665,,,907.1556666666665,907.7703333333334,,,907.7703333333334
82,1,2048,256,2048,196.0,896.3706666666667,,,896.3706666666667,907.7703333333334,,,907.7703333333334
83,1,2048,256,2048,32.0,9512.915,,,9512.915,907.7703333333334,,,907.7703333333334
84,1,2048,256,2048,64.0,4766.866999999999,,,4766.866999999999,907.7703333333334,,,907.7703333333334
85,1,2048,256,2048,304.0,907.7703333333334,,,907.7703333333334,907.7703333333334,,,907.7703333333334
86,1,2048,256,256,128.0,341.9026666666667,,,341.9026666666667,142.08533333333335,,,142.08533333333335
87,1,2048,256,256,160.0,142.05866666666665,,,142.05866666666665,142.08533333333335,,,142.08533333333335
88,1,2048,256,256,196.0,143.28733333333332,,,143.28733333333332,142.08533333333335,,,142.08533333333335
89,1,2048,256,256,224.0,142.11233333333334,,,142.11233333333334,142.08533333333335,,,142.08533333333335
90,1,2048,256,256,32.0,1487.9779999999998,,,1487.9779999999998,142.08533333333335,,,142.08533333333335
91,1,2048,256,256,64.0,743.2073333333333,,,743.2073333333333,142.08533333333335,,,142.08533333333335
92,1,2048,256,256,304.0,142.08533333333335,,,142.08533333333335,142.08533333333335,,,142.08533333333335
93,1,2048,256,4096,128.0,4293.024,,,4293.024,1798.060666666667,,,1798.060666666667
94,1,2048,256,4096,160.0,1780.6346666666668,,,1780.6346666666668,1798.060666666667,,,1798.060666666667
95,1,2048,256,4096,196.0,1810.396,,,1810.396,1798.060666666667,,,1798.060666666667
96,1,2048,256,4096,32.0,18710.100000000002,,,18710.100000000002,1798.060666666667,,,1798.060666666667
97,1,2048,256,4096,64.0,9376.560666666666,,,9376.560666666666,1798.060666666667,,,1798.060666666667
98,1,2048,256,4096,304.0,1798.060666666667,,,1798.060666666667,1798.060666666667,,,1798.060666666667
99,1,2048,256,512,128.0,604.1696666666667,,,604.1696666666667,249.237,,,249.237
100,1,2048,256,512,160.0,248.30100000000002,,,248.30100000000002,249.237,,,249.237
101,1,2048,256,512,196.0,247.99433333333332,,,247.99433333333332,249.237,,,249.237
102,1,2048,256,512,224.0,249.18366666666668,,,249.18366666666668,249.237,,,249.237
103,1,2048,256,512,32.0,2621.1569999999997,,,2621.1569999999997,249.237,,,249.237
104,1,2048,256,512,64.0,1528.2703333333332,,,1528.2703333333332,249.237,,,249.237
105,1,2048,256,512,304.0,249.237,,,249.237,249.237,,,249.237
106,1,2048,32,1024,128.0,170.22966666666667,,,170.22966666666667,59.65633333333333,,,59.65633333333333
107,1,2048,32,1024,160.0,61.019666666666666,,,61.019666666666666,59.65633333333333,,,59.65633333333333
108,1,2048,32,1024,196.0,60.76533333333333,,,60.76533333333333,59.65633333333333,,,59.65633333333333
109,1,2048,32,1024,224.0,59.88399999999999,,,59.88399999999999,59.65633333333333,,,59.65633333333333
110,1,2048,32,1024,32.0,632.5403333333334,,,632.5403333333334,59.65633333333333,,,59.65633333333333
111,1,2048,32,1024,64.0,337.4253333333333,,,337.4253333333333,59.65633333333333,,,59.65633333333333
112,1,2048,32,1024,304.0,59.65633333333333,,,59.65633333333333,59.65633333333333,,,59.65633333333333
113,1,2048,32,2048,128.0,327.068,,,327.068,114.609,,,114.609
