,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_prefill_duration_us
151,decode,,,32.0,2048.0,160.0,,42.28366666666667,5.653,47.93666666666667,
152,decode,,,32.0,2048.0,32.0,,221.74733333333333,6.9093333333333335,228.65666666666667,
153,decode,,,32.0,2048.0,64.0,,104.67933333333333,5.238666666666666,109.91799999999999,
154,decode,,,32.0,2048.0,96.0,,67.74166666666666,4.717333333333333,72.45899999999999,
155,decode,,,32.0,2048.0,304.0,,22.959333333333333,5.479333333333333,28.438666666666666,
156,decode,,,32.0,256.0,128.0,,14.914,5.880333333333333,20.794333333333334,
157,decode,,,32.0,256.0,160.0,,11.292,4.730999999999999,16.023,
158,decode,,,32.0,256.0,32.0,,54.498333333333335,7.27,61.76833333333333,
159,decode,,,32.0,256.0,64.0,,28.892666666666667,6.200666666666667,35.093333333333334,
160,decode,,,32.0,256.0,96.0,,20.219666666666665,5.212,25.431666666666665,
161,decode,,,32.0,256.0,304.0,,7.817333333333334,4.784,12.601333333333333,
162,decode,,,32.0,4096.0,128.0,,84.19266666666665,4.650666666666667,88.84333333333332,
163,decode,,,32.0,4096.0,160.0,,68.79766666666667,4.543666666666667,73.34133333333334,
164,decode,,,32.0,4096.0,32.0,,364.567,6.989333333333334,371.5563333333333,
165,decode,,,32.0,4096.0,64.0,,177.71333333333334,5.131666666666667,182.845,
166,decode,,,32.0,4096.0,96.0,,115.798,4.7443333333333335,120.54233333333333,
167,decode,,,32.0,4096.0,304.0,,37.419000000000004,4.543666666666667,41.96266666666667,
168,decode,,,32.0,512.0,128.0,,24.629333333333335,4.7043333333333335,29.33366666666667,
169,decode,,,32.0,512.0,160.0,,20.928,5.773,26.701,
170,decode,,,32.0,512.0,32.0,,88.50933333333334,6.815666666666666,95.32500000000002,
171,decode,,,32.0,512.0,64.0,,44.889,5.866666666666667,50.75566666666667,
172,decode,,,32.0,512.0,96.0,,30.429666666666666,5.131666666666667,35.56133333333333,
173,decode,,,32.0,512.0,304.0,,13.189666666666668,4.343333333333334,17.533,
174,decode,,,32.0,8192.0,128.0,,151.37299999999996,4.436333333333333,155.80933333333329,
175,decode,,,32.0,8192.0,160.0,,122.89433333333334,4.557333333333333,127.45166666666667,
176,decode,,,32.0,8192.0,32.0,,672.8326666666667,7.577000000000001,680.4096666666667,
177,decode,,,32.0,8192.0,64.0,,324.9836666666667,5.411999999999999,330.39566666666667,
178,decode,,,32.0,8192.0,96.0,,209.19866666666667,4.757666666666666,213.95633333333333,
179,decode,,,32.0,8192.0,304.0,,64.33399999999999,4.757333333333333,69.09133333333332,
180,decode,,,4.0,1024.0,128.0,,8.138,3.969333333333333,12.107333333333333,
181,decode,,,4.0,1024.0,160.0,,8.392666666666667,4.062666666666666,12.455333333333332,
182,decode,,,4.0,1024.0,32.0,,20.35333333333333,4.824333333333333,25.177666666666664,
183,decode,,,4.0,1024.0,64.0,,13.804666666666668,3.902333333333333,17.707,
184,decode,,,4.0,1024.0,96.0,,10.878,4.570333333333333,15.448333333333334,
185,decode,,,4.0,1024.0,304.0,,8.766666666666666,4.075666666666666,12.842333333333332,
186,decode,,,4.0,2048.0,128.0,,11.466333333333333,4.009333333333333,15.475666666666665,
187,decode,,,4.0,2048.0,160.0,,13.391,4.0633333333333335,17.454333333333334,
188,decode,,,4.0,2048.0,32.0,,31.151333333333337,3.8483333333333327,34.99966666666667,
189,decode,,,4.0,2048.0,64.0,,20.55333333333333,3.675666666666667,24.229,
190,decode,,,4.0,2048.0,96.0,,11.76,4.263333333333334,16.023333333333333,
191,decode,,,4.0,2048.0,304.0,,12.094,4.142666666666667,16.236666666666665,
192,decode,,,4.0,256.0,128.0,,6.454999999999999,3.902333333333333,10.357333333333333,
193,decode,,,4.0,256.0,160.0,,7.416999999999999,4.664,12.081,
194,decode,,,4.0,256.0,32.0,,11.185333333333332,4.5840000000000005,15.769333333333332,
195,decode,,,4.0,256.0,64.0,,7.751,4.757666666666666,12.508666666666667,
196,decode,,,4.0,256.0,96.0,,7.577333333333333,4.744000000000001,12.321333333333333,
197,decode,,,4.0,256.0,304.0,,6.762333333333333,4.2363333333333335,10.998666666666667,
198,decode,,,4.0,4096.0,128.0,,19.23033333333333,4.17,23.40033333333333,
199,decode,,,4.0,4096.0,160.0,,20.099333333333334,4.383333333333334,24.482666666666667,
200,decode,,,4.0,4096.0,32.0,,50.315,4.223,54.538,
201,decode,,,4.0,4096.0,64.0,,34.184666666666665,3.8216666666666668,38.00633333333333,
202,decode,,,4.0,4096.0,96.0,,18.42866666666667,4.102666666666667,22.531333333333336,
203,decode,,,4.0,4096.0,304.0,,18.589,4.09,22.679,
204,decode,,,4.0,512.0,128.0,,6.401666666666667,3.889,10.290666666666667,
205,decode,,,4.0,512.0,160.0,,6.414666666666666,3.889,10.303666666666667,
206,decode,,,4.0,512.0,32.0,,13.658000000000001,4.115666666666667,17.773666666666667,
207,decode,,,4.0,512.0,64.0,,9.916,4.316666666666666,14.232666666666667,
208,decode,,,4.0,512.0,96.0,,6.147666666666667,4.142666666666666,10.290333333333333,
209,decode,,,4.0,512.0,304.0,,6.882666666666666,4.5440000000000005,11.426666666666666,
210,decode,,,4.0,8192.0,128.0,,32.78133333333333,4.544,37.325333333333326,
211,decode,,,4.0,8192.0,160.0,,33.035666666666664,5.332333333333334,38.367999999999995,
212,decode,,,4.0,8192.0,32.0,,90.50066666666667,4.45,94.95066666666668,
213,decode,,,4.0,8192.0,64.0,,62.129,4.477,66.606,
214,decode,,,4.0,8192.0,96.0,,31.873,4.53,36.403,
215,decode,,,4.0,8192.0,304.0,,34.065,4.45,38.515,
216,decode,,,64.0,1024.0,128.0,,65.323,6.267333333333333,71.59033333333332,
217,decode,,,64.0,1024.0,160.0,,54.52466666666666,5.506333333333333,60.03099999999999,
218,decode,,,64.0,1024.0,32.0,,261.4646666666667,11.64,273.1046666666667,
219,decode,,,64.0,1024.0,64.0,,134.76166666666666,7.523666666666666,142.2853333333333,
220,decode,,,64.0,1024.0,96.0,,82.14800000000001,6.1739999999999995,88.322,
221,decode,,,64.0,1024.0,304.0,,32.929,6.562,39.491,
222,decode,,,64.0,2048.0,128.0,,99.02666666666669,5.760000000000001,104.78666666666669,
223,decode,,,64.0,2048.0,160.0,,81.57333333333334,5.479333333333334,87.05266666666667,
224,decode,,,64.0,2048.0,32.0,,412.00966666666665,11.68,423.68966666666665,
225,decode,,,64.0,2048.0,64.0,,206.86033333333333,7.443666666666666,214.304,
226,decode,,,64.0,2048.0,96.0,,125.70099999999998,6.321000000000001,132.022,
227,decode,,,64.0,2048.0,304.0,,44.595666666666666,4.503666666666667,49.099333333333334,
228,decode,,,64.0,256.0,128.0,,26.393666666666665,6.093666666666667,32.48733333333333,
229,decode,,,64.0,256.0,160.0,,21.543000000000003,5.986999999999999,27.53,
230,decode,,,64.0,256.0,32.0,,103.78399999999999,11.266,115.05,
