,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_us,avg_decode_duration_us,avg_prefill_duration_us
301,decode,1,4096,128,1024,128.0,565.7076666666667,,
302,decode,1,4096,128,1024,32.0,2478.9656666666665,,
303,decode,1,4096,128,1024,64.0,1244.421,,
304,decode,1,4096,128,1024,304.0,232.94633333333334,,
305,decode,1,4096,128,2048,128.0,1111.4896666666666,,
306,decode,1,4096,128,2048,32.0,4789.199333333333,,
307,decode,1,4096,128,2048,64.0,2391.753,,
308,decode,1,4096,128,2048,304.0,447.33033333333333,,
309,decode,1,4096,128,256,128.0,241.0716666666667,,
310,decode,1,4096,128,256,32.0,750.9453333333335,,
311,decode,1,4096,128,256,64.0,371.15633333333335,,
312,decode,1,4096,128,256,304.0,73.04733333333333,,
313,decode,1,4096,128,4096,128.0,2137.5309999999995,,
314,decode,1,4096,128,4096,32.0,9408.151333333333,,
315,decode,1,4096,128,4096,64.0,4677.702666666667,,
316,decode,1,4096,128,4096,304.0,897.4533333333333,,
317,decode,1,4096,128,512,128.0,302.91966666666667,,
318,decode,1,4096,128,512,32.0,1326.261,,
319,decode,1,4096,128,512,64.0,658.5603333333333,,
320,decode,1,4096,128,512,304.0,126.06166666666667,,
321,decode,1,4096,256,1024,128.0,1153.3583333333333,,
322,decode,1,4096,256,1024,32.0,4917.987,,
323,decode,1,4096,256,1024,64.0,2466.457,,
324,decode,1,4096,256,1024,304.0,466.50766666666664,,
325,decode,1,4096,256,2048,128.0,2186.081666666667,,
326,decode,1,4096,256,2048,32.0,9508.866333333333,,
327,decode,1,4096,256,2048,64.0,4763.352666666667,,
328,decode,1,4096,256,2048,304.0,908.9463333333333,,
329,decode,1,4096,256,256,128.0,341.95599999999996,,
330,decode,1,4096,256,256,32.0,1493.1096666666665,,
331,decode,1,4096,256,256,64.0,742.5656666666667,,
332,decode,1,4096,256,256,304.0,142.49933333333334,,
333,decode,1,4096,256,4096,128.0,4308.606,,
334,decode,1,4096,256,4096,32.0,18706.599000000002,,
335,decode,1,4096,256,4096,64.0,9370.239666666668,,
336,decode,1,4096,256,4096,304.0,1802.2966666666669,,
337,decode,1,4096,256,512,128.0,604.33,,
338,decode,1,4096,256,512,32.0,2621.077333333333,,
339,decode,1,4096,256,512,64.0,1319.9396666666667,,
340,decode,1,4096,256,512,304.0,249.2636666666667,,
341,decode,1,4096,32,1024,128.0,170.01633333333334,,
342,decode,1,4096,32,1024,32.0,645.998,,
343,decode,1,4096,32,1024,64.0,337.3446666666667,,
344,decode,1,4096,32,1024,304.0,59.88366666666667,,
345,decode,1,4096,32,2048,128.0,327.4693333333334,,
346,decode,1,4096,32,2048,32.0,1247.7086666666667,,
347,decode,1,4096,32,2048,64.0,650.314,,
348,decode,1,4096,32,2048,304.0,113.45966666666668,,
349,decode,1,4096,32,256,128.0,66.81933333333333,,
350,decode,1,4096,32,256,32.0,189.968,,
351,decode,1,4096,32,256,64.0,101.23199999999999,,
352,decode,1,4096,32,256,304.0,19.43133333333333,,
353,decode,1,4096,32,4096,128.0,653.2683333333334,,
354,decode,1,4096,32,4096,32.0,2406.359,,
355,decode,1,4096,32,4096,64.0,1297.97,,
356,decode,1,4096,32,4096,304.0,221.41333333333333,,
357,decode,1,4096,32,512,128.0,91.06166666666667,,
358,decode,1,4096,32,512,32.0,337.74600000000004,,
359,decode,1,4096,32,512,64.0,179.69066666666666,,
360,decode,1,4096,32,512,304.0,34.01133333333333,,
361,decode,1,4096,512,1024,128.0,2275.111,,
362,decode,1,4096,512,1024,32.0,9863.703666666668,,
363,decode,1,4096,512,1024,64.0,4932.0723333333335,,
364,decode,1,4096,512,1024,304.0,890.451,,
365,decode,1,4096,512,2048,128.0,4414.220333333334,,
366,decode,1,4096,512,2048,32.0,19019.065000000002,,
367,decode,1,4096,512,2048,64.0,9553.351999999999,,
368,decode,1,4096,512,2048,304.0,1713.2533333333333,,
369,decode,1,4096,512,256,128.0,695.0033333333332,,
370,decode,1,4096,512,256,32.0,2961.2290000000007,,
371,decode,1,4096,512,256,64.0,1502.8656666666666,,
372,decode,1,4096,512,256,304.0,265.6476666666667,,
373,decode,1,4096,512,4096,128.0,8720.114,,
374,decode,1,4096,512,4096,32.0,37469.10033333333,,
375,decode,1,4096,512,4096,64.0,18764.334666666666,,
376,decode,1,4096,512,4096,304.0,3341.3656666666666,,
377,decode,1,4096,512,512,128.0,1227.4626666666666,,
378,decode,1,4096,512,512,32.0,5244.520333333334,,
379,decode,1,4096,512,512,64.0,2625.9949999999994,,
380,decode,1,4096,512,512,304.0,467.2563333333333,,
381,decode,1,4096,64,1024,128.0,283.355,,
382,decode,1,4096,64,1024,32.0,1268.7163333333335,,
383,decode,1,4096,64,1024,64.0,628.5986666666668,,
384,decode,1,4096,64,1024,304.0,118.32433333333334,,
385,decode,1,4096,64,2048,128.0,545.8489999999999,,
386,decode,1,4096,64,2048,32.0,2411.5316666666663,,
387,decode,1,4096,64,2048,64.0,1212.7213333333332,,
388,decode,1,4096,64,2048,304.0,225.47633333333332,,
389,decode,1,4096,64,256,128.0,86.47766666666666,,
390,decode,1,4096,64,256,32.0,373.77500000000003,,
391,decode,1,4096,64,256,64.0,185.812,,
392,decode,1,4096,64,256,304.0,37.833333333333336,,
393,decode,1,4096,64,4096,128.0,1091.5913333333335,,
394,decode,1,4096,64,4096,32.0,4737.4929999999995,,
395,decode,1,4096,64,4096,64.0,2338.19,,
396,decode,1,4096,64,4096,304.0,439.08500000000004,,
397,decode,1,4096,64,512,128.0,152.25533333333337,,
398,decode,1,4096,64,512,32.0,663.6516666666666,,
399,decode,1,4096,64,512,64.0,329.5276666666666,,
400,decode,1,4096,64,512,304.0,64.02666666666666,,
401,decode,1,512,128,1024,128.0,565.9083333333334,,
402,decode,1,512,128,1024,32.0,2476.3863333333334,,
403,decode,1,512,128,1024,64.0,1255.633,,
404,decode,1,512,128,1024,304.0,232.61233333333334,,
405,decode,1,512,128,2048,128.0,1110.955,,
406,decode,1,512,128,2048,32.0,4788.838333333333,,
407,decode,1,512,128,2048,64.0,2380.3799999999997,,
408,decode,1,512,128,2048,304.0,447.62433333333337,,
409,decode,1,512,128,256,128.0,226.90600000000003,,
410,decode,1,512,128,256,32.0,751.8133333333332,,
411,decode,1,512,128,256,64.0,371.423,,
412,decode,1,512,128,256,304.0,73.234,,
413,decode,1,512,128,4096,128.0,2146.204,,
414,decode,1,512,128,4096,32.0,9422.531,,
415,decode,1,512,128,4096,64.0,4677.769666666667,,
416,decode,1,512,128,4096,304.0,890.8253333333333,,
417,decode,1,512,128,512,128.0,302.853,,
418,decode,1,512,128,512,32.0,1337.6613333333335,,
419,decode,1,512,128,512,64.0,669.291,,
