,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_prefill_duration_us,avg_duration_2d_us_baseline,avg_duration_3d_us_baseline,avg_duration_reduce_segment_us_baseline,avg_decode_duration_us_baseline,avg_prefill_duration_us_baseline
158,decode,1,512,8,4096,304.0,214.07666666666668,,,214.07666666666668,,214.07666666666668,,,214.07666666666668,
159,decode,1,512,8,512,32.0,31.846333333333334,,,31.846333333333334,,32.95566666666667,,,32.95566666666667,
160,decode,1,512,8,512,304.0,32.95566666666667,,,32.95566666666667,,32.95566666666667,,,32.95566666666667,
161,decode,16,256,1,1024,32.0,59.669666666666664,,,59.669666666666664,,59.87033333333333,,,59.87033333333333,
162,decode,16,256,1,1024,304.0,59.87033333333333,,,59.87033333333333,,59.87033333333333,,,59.87033333333333,
163,decode,16,256,1,2048,32.0,112.551,,,112.551,,113.48633333333333,,,113.48633333333333,
164,decode,16,256,1,2048,304.0,113.48633333333333,,,113.48633333333333,,113.48633333333333,,,113.48633333333333,
165,decode,16,256,1,256,32.0,19.872333333333334,,,19.872333333333334,,19.965666666666667,,,19.965666666666667,
166,decode,16,256,1,256,64.0,20.166,,,20.166,,19.965666666666667,,,19.965666666666667,
167,decode,16,256,1,256,304.0,19.965666666666667,,,19.965666666666667,,19.965666666666667,,,19.965666666666667,
168,decode,16,256,1,4096,32.0,217.88566666666665,,,217.88566666666665,,217.885,,,217.885,
169,decode,16,256,1,4096,304.0,217.885,,,217.885,,217.885,,,217.885,
170,decode,16,256,1,512,32.0,33.11600000000001,,,33.11600000000001,,33.83733333333333,,,33.83733333333333,
171,decode,16,256,1,512,304.0,33.83733333333333,,,33.83733333333333,,33.83733333333333,,,33.83733333333333,
172,decode,16,256,16,1024,32.0,58.788000000000004,,,58.788000000000004,,58.60066666666666,,,58.60066666666666,
173,decode,16,256,16,1024,304.0,58.60066666666666,,,58.60066666666666,,58.60066666666666,,,58.60066666666666,
174,decode,16,256,16,2048,32.0,109.865,,,109.865,,110.25233333333334,,,110.25233333333334,
175,decode,16,256,16,2048,304.0,110.25233333333334,,,110.25233333333334,,110.25233333333334,,,110.25233333333334,
