,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,first_kernel,is_3d,rows_in_group,rows_expected,rows_ok,avg_final_overlap_pct_nonzero,count_nonzero
103,16.0,1024.0,1.0,8192.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
104,16.0,1024.0,1.0,8192.0,32.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
105,16.0,1024.0,1.0,8192.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
106,16.0,1024.0,1.0,8192.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
107,16.0,1024.0,1.0,8192.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
108,16.0,1024.0,2.0,1024.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
109,16.0,1024.0,2.0,1024.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
110,16.0,1024.0,2.0,1024.0,32.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
111,16.0,1024.0,2.0,1024.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
112,16.0,1024.0,2.0,1024.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
113,16.0,1024.0,2.0,1024.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
114,16.0,1024.0,2.0,2048.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
115,16.0,1024.0,2.0,2048.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
116,16.0,1024.0,2.0,2048.0,32.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
117,16.0,1024.0,2.0,2048.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
118,16.0,1024.0,2.0,2048.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
119,16.0,1024.0,2.0,2048.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
120,16.0,1024.0,2.0,256.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
121,16.0,1024.0,2.0,256.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
122,16.0,1024.0,2.0,256.0,32.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
123,16.0,1024.0,2.0,256.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
124,16.0,1024.0,2.0,256.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
125,16.0,1024.0,2.0,256.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
126,16.0,1024.0,2.0,4096.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
127,16.0,1024.0,2.0,4096.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
128,16.0,1024.0,2.0,4096.0,32.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
129,16.0,1024.0,2.0,4096.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
130,16.0,1024.0,2.0,4096.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
