,Unnamed: 0,index,cu_mask,decode_batch_size,decode_len,prefill_len,prefill_batch,queue1_start,queue1_end,queue2_start,queue2_end,q1_dur,q2_dur,overlap_us,pct_of_q1,pct_of_q2
124,124,124,32.0,64,1024,512,1,283791367155105,283791367406440,283791367071274,283791368307141,251335,1235867,251335,100.0,20.33673526358419
125,125,125,32.0,64,1024,512,4,283866645433782,283866646377502,283866645351474,283866646610515,943720,1259041,943720,100.0,74.95546213348095
126,126,126,32.0,64,1024,512,8,283943264011180,283943265902588,283943263928992,283943265218703,1891408,1289711,1207523,63.84254481317622,93.62740955144214
127,127,127,32.0,64,1024,512,16,284018084705349,284018088536114,284018084675641,284018085985478,3830765,1309837,1280129,33.41705899474387,97.7319315304118
128,128,128,32.0,64,1024,1024,1,284093365369230,284093366303969,284093365283915,284093366540390,934739,1256475,934739,100.0,74.39376032153446
129,129,129,32.0,64,1024,1024,4,284169234956690,284169238546343,284169234870934,284169236184660,3589653,1313726,1227970,34.20859899271601,93.47230701074653
130,130,130,32.0,64,1024,1024,8,284244826870212,284244834127537,284244826789707,284244828066068,7257325,1276361,1195856,16.477917138890707,93.69261517705414
131,131,131,32.0,64,1024,2048,1,284320497354136,284320500927832,284320497267498,284320498551155,3573696,1283657,1197019,33.49526652518849,93.25068924175227
132,132,132,32.0,64,1024,2048,4,284396054706922,284396068812155,284396054625535,284396055892354,14105233,1266819,1185432,8.404200058233705,93.57548315899903
133,133,133,32.0,64,1024,2048,8,284471372961200,284471401071998,284471372879052,284471374143866,28110798,1264814,1182666,4.207159113732737,93.50513197988005
134,134,134,32.0,64,1024,4096,1,284547375113216,284547389198323,284547375028341,284547376292554,14085107,1264213,1179338,8.372943137741162,93.28633703339548
135,135,135,32.0,64,1024,4096,4,284623933821937,284623988930747,284623933740941,284623935006156,55108810,1265215,1184219,2.1488741999691157,93.5982421959904
136,136,136,32.0,64,2048,256,1,289842944771476,289842944964558,289842944687765,289842947065205,193082,2377440,193082,100.0,8.121424725755434
137,137,137,32.0,64,2048,256,4,289919517102746,289919517464935,289919517018714,289919519400444,362189,2381730,362189,100.0,15.206971403139736
138,138,138,32.0,64,2048,256,8,289995177243489,289995177822213,289995177153403,289995179543713,578724,2390310,578724,100.0,24.211252933719894
139,139,139,32.0,64,2048,256,16,290070273193791,290070274255420,290070273110922,290070275564015,1061629,2453093,1061629,100.0,43.27716071098813
140,140,140,32.0,64,2048,256,32,290144538871990,290144541028644,290144538790283,290144541282946,2156654,2492663,2156654,100.0,86.52007912822552
141,141,141,32.0,64,2048,512,1,290219858031634,290219858384641,290219857946158,290219860328690,353007,2382532,353007,100.0,14.816464165014361
142,142,142,32.0,64,2048,512,4,290294760489188,290294761517220,290294760473672,290294762876731,1028032,2403059,1028032,100.0,42.78013981346276
143,143,143,32.0,64,2048,512,8,290371547983434,290371549857643,290371547902248,290371550354861,1874209,2452613,1874209,100.0,76.41682564676938
144,144,144,32.0,64,2048,512,16,290445723500284,290445727299778,290445723421343,290445725888789,3799494,2467446,2388505,62.86376554351711,96.80069999505562
145,145,145,32.0,64,2048,1024,1,290520424178693,290520425131193,290520424095984,290520426505337,952500,2409353,952500,100.0,39.53343490970397
146,146,146,32.0,64,2048,1024,4,290595971578305,290595975158177,290595971496478,290595973992550,3579872,2496072,2414245,67.43942241510311,96.72176924383592
147,147,147,32.0,64,2048,1024,8,290670891567565,290670898791216,290670891485698,290670893961684,7223651,2475986,2394119,33.142783337677855,96.6935596566378
148,148,148,32.0,64,2048,2048,1,290746798305548,290746801895844,290746798223239,290746800721076,3590296,2497837,2415528,67.27935523979082,96.70478898342846
149,149,149,32.0,64,2048,2048,4,290822042387324,290822056434710,290822042296797,290822044774226,14047386,2477429,2386902,16.991787653589075,96.34592959071682
150,150,150,32.0,64,2048,2048,8,290898492813775,290898520819663,290898492730785,290898495198953,28005888,2468168,2385178,8.51670191639701,96.63758706862741
151,151,151,32.0,64,2048,4096,1,290975036912720,290975050979791,290975036830973,290975039312251,14067071,2481278,2399531,17.057786940863526,96.70544775716385
152,152,152,32.0,64,2048,4096,4,291051951439127,291052006575100,291051951352869,291051953819193,55135973,2466324,2380066,4.316720773205544,96.50256819460866
153,153,153,32.0,64,4096,256,1,296260177174265,296260177549845,296260177092799,296260181765130,375580,4672331,375580,100.0,8.03838597907554
154,154,154,32.0,64,4096,256,4,296335748796045,296335749357490,296335748714138,296335753388753,561445,4674615,561445,100.0,12.010507817221312
155,155,155,32.0,64,4096,256,8,296410995932230,296410996716585,296410995848118,296411000557052,784355,4708934,784355,100.0,16.656742269057073
156,156,156,32.0,64,4096,256,16,296485928423922,296485929675907,296485928340491,296485933098939,1251985,4758448,1251985,100.0,26.310784524702175
157,157,157,32.0,64,4096,256,32,296560597306848,296560599529333,296560597228549,296560602058881,2222485,4830332,2222485,100.0,46.01101953240481
158,158,158,32.0,64,4096,512,1,296635712507046,296635713048044,296635712422934,296635717097710,540998,4674776,540998,100.0,11.572704232245567
159,159,159,32.0,64,4096,512,4,296711163243157,296711164394592,296711163158403,296711167853627,1151435,4695224,1151435,100.0,24.523537109198625
160,160,160,32.0,64,4096,512,8,296787231088662,296787233081983,296787231007757,296787235818203,1993321,4810446,1993321,100.0,41.43734281602995
161,161,161,32.0,64,4096,512,16,296862468781860,296862472641090,296862468696424,296862473645789,3859230,4949365,3859230,100.0,77.97424518094745
162,162,162,32.0,64,4096,1024,1,296937994022430,296937995142152,296937993941364,296937998664331,1119722,4722967,1119722,100.0,23.708020826738785
163,163,163,32.0,64,4096,1024,4,297013210051167,297013213661268,297013209969220,297013214908963,3610101,4939743,3610101,100.0,73.0827696906499
164,164,164,32.0,64,4096,1024,8,297089223119744,297089230317533,297089223037771,297089227976231,7197789,4938460,4856487,67.47192783784021,98.34011007480065
165,165,165,32.0,64,4096,2048,1,297165735066414,297165738729796,297165734982983,297165739966425,3663382,4983442,3663382,100.0,73.51107929017735
166,166,166,32.0,64,4096,2048,4,297242195185352,297242209175884,297242195102402,297242200054934,13990532,4952532,4869582,34.80626755294223,98.32509916139865
167,167,167,32.0,64,4096,2048,8,297319231717385,297319259660001,297319231635357,297319236661738,27942616,5026381,4944353,17.69466752862366,98.36805049199414
168,168,168,32.0,64,4096,4096,1,297395041755437,297395055835975,297395041673209,297395046680626,14080538,5007417,4925189,34.97869896732639,98.35787592685011
169,169,169,32.0,64,4096,4096,4,297471354357712,297471409430525,297471354271024,297471359395109,55072813,5124085,5037397,9.146794444656386,98.30822478549828
170,170,170,32.0,128,256,256,1,269839486340874,269839486413560,269839486258125,269839486999220,72686,741095,72686,100.0,9.807919362564853
171,171,171,32.0,128,256,256,4,269925757092405,269925757364067,269925757009415,269925757786874,271662,777459,271662,100.0,34.942292776853826
172,172,172,32.0,128,256,256,8,270011765167115,270011765694241,270011765085963,270011765855644,527126,769681,527126,100.0,68.48629497155315
173,173,173,32.0,128,256,256,16,270098412011897,270098413124683,270098411930585,270098412718828,1112786,788243,706931,63.52802785081768,89.68439935400632
174,174,174,32.0,128,256,256,32,270184015159736,270184017276018,270184015080795,270184015849995,2116282,769200,690259,32.616588904503274,89.73725949037961
175,175,175,32.0,128,256,512,1,270274676434842,270274676683651,270274676354057,270274677126264,248809,772207,248809,100.0,32.220505641622
176,176,176,32.0,128,256,512,4,270368524130001,270368525088434,270368524046489,270368524821703,958433,775214,691702,72.17009431019173,89.22723273831484
177,177,177,32.0,128,256,512,8,270459239841481,270459241714807,270459239760857,270459240534948,1873326,774091,693467,37.01795629804956,89.58468707167503
178,178,178,32.0,128,256,512,16,270549302697160,270549306481699,270549302618259,270549303390586,3784539,772327,693426,18.322601511042695,89.78399045999946
179,179,179,32.0,128,256,1024,1,270644346051175,270644347044568,270644345968947,270644346772746,993393,803799,721571,72.63701274319429,89.77007933575433
180,180,180,32.0,128,256,1024,4,270733970737283,270733974328219,270733970652288,270733971442537,3590936,790249,705254,19.639837635647083,89.24452925596869
181,181,181,32.0,128,256,1024,8,270824524291956,270824531496120,270824524210089,270824524982857,7204164,772768,690901,9.590300831574629,89.40600542465526
182,182,182,32.0,128,256,2048,1,270915683598523,270915687157266,270915683514371,270915684291790,3558743,777419,693267,19.480670562611575,89.17546393900844
183,183,183,32.0,128,256,2048,4,271008810588517,271008824623750,271008810505327,271008811266869,14035233,761542,678352,4.833207970255997,89.07611136352295
184,184,184,32.0,128,256,2048,8,271100488922979,271100516878703,271100488751426,271100489509040,27955724,757614,586061,2.0963899915452022,77.35614706169632
185,185,185,32.0,128,256,4096,1,271193255771115,271193269718468,271193255688191,271193256447649,13947353,759458,676534,4.850626495220993,89.0811605118387
186,186,186,32.0,128,256,4096,4,271284054941450,271284109972886,271284054859752,271284055619450,55031436,759698,678000,1.2320230931280804,89.24598985386298
187,187,187,32.0,128,512,256,1,277357339074262,277357339168838,277357338989308,277357340331218,94576,1341910,94576,100.0,7.047864610890447
188,188,188,32.0,128,512,256,4,277446287665211,277446287936833,277446287580297,277446288896509,271622,1316212,271622,100.0,20.63664516050606
189,189,189,32.0,128,512,256,8,277535527414495,277535527939978,277535527330383,277535528652207,525483,1321824,525483,100.0,39.75438485002542
190,190,190,32.0,128,512,256,16,277623030716544,277623031815979,277623030670478,277623032054405,1099435,1383927,1099435,100.0,79.4431353676892
