,kernel,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_duration_2d_us_baseline,avg_duration_3d_us_baseline,avg_duration_reduce_segment_us_baseline,avg_decode_duration_us_baseline
69,2d,1,2048,256,256,32.0,192.093,,,192.093,,46.39966666666667,6.989666666666667,53.38933333333333
70,2d,1,2048,256,256,304.0,19.858666666666664,,,19.858666666666664,19.858666666666664,,,19.858666666666664
71,2d,1,2048,256,256,304.0,19.858666666666664,,,19.858666666666664,,46.39966666666667,6.989666666666667,53.38933333333333
72,2d,1,2048,256,4096,32.0,2400.025,,,2400.025,220.43733333333333,,,220.43733333333333
73,2d,1,2048,256,4096,32.0,2400.025,,,2400.025,,252.77833333333334,7.724666666666667,260.503
74,2d,1,2048,256,4096,304.0,220.43733333333333,,,220.43733333333333,220.43733333333333,,,220.43733333333333
75,2d,1,2048,256,4096,304.0,220.43733333333333,,,220.43733333333333,,252.77833333333334,7.724666666666667,260.503
76,2d,1,2048,256,512,32.0,339.64399999999995,,,339.64399999999995,33.476333333333336,,,33.476333333333336
77,2d,1,2048,256,512,32.0,339.64399999999995,,,339.64399999999995,,74.18266666666666,7.711333333333333,81.89399999999999
78,2d,1,2048,256,512,304.0,33.476333333333336,,,33.476333333333336,33.476333333333336,,,33.476333333333336
79,2d,1,2048,256,512,304.0,33.476333333333336,,,33.476333333333336,,74.18266666666666,7.711333333333333,81.89399999999999
80,2d,1,2048,32,1024,32.0,112.43066666666668,,,112.43066666666668,58.199999999999996,,,58.199999999999996
81,2d,1,2048,32,1024,32.0,112.43066666666668,,,112.43066666666668,,15.181,4.584,19.765
82,2d,1,2048,32,1024,304.0,58.199999999999996,,,58.199999999999996,58.199999999999996,,,58.199999999999996
83,2d,1,2048,32,1024,304.0,58.199999999999996,,,58.199999999999996,,15.181,4.584,19.765
84,2d,1,2048,32,2048,32.0,216.41533333333334,,,216.41533333333334,109.97166666666668,,,109.97166666666668
85,2d,1,2048,32,2048,32.0,216.41533333333334,,,216.41533333333334,,23.133,5.666333333333333,28.799333333333333
86,2d,1,2048,32,2048,304.0,109.97166666666668,,,109.97166666666668,109.97166666666668,,,109.97166666666668
87,2d,1,2048,32,2048,304.0,109.97166666666668,,,109.97166666666668,,23.133,5.666333333333333,28.799333333333333
88,2d,1,2048,32,256,32.0,34.184666666666665,,,34.184666666666665,18.695666666666668,,,18.695666666666668
89,2d,1,2048,32,256,32.0,34.184666666666665,,,34.184666666666665,,6.815666666666668,4.356999999999999,11.172666666666668
90,2d,1,2048,32,256,304.0,18.695666666666668,,,18.695666666666668,18.695666666666668,,,18.695666666666668
