,mode,prefill_len,prefill_batch,decode_batch_size,cu_mask,mean_q1,std_q1,mean_q2,std_q2,mean_q3,std_q3,decode_mean_q1,decode_std_q1,prefill_mean_q1,prefill_std_q1
670,prefill_and_decode,512.0,16.0,2.0,160.0,,,1428.9342000000001,75.48071797949459,21.3448,1.0774944083381572,13.952,0.040000000000000924,1408.8369999999998,2.100488514608096
671,prefill_and_decode,512.0,16.0,2.0,304.0,,,875.2986000000001,66.50973070010133,153.7116,80.00676417216233,13.617666666666667,0.08326663997864553,807.6076666666667,52.70681421157356
672,prefill_and_decode,512.0,16.0,4.0,32.0,,,994.8924,46.05426520204183,58.3654,14.865531450304761,40.492,0.03999999999999915,900.5003333333334,34.9894252786943
673,prefill_and_decode,512.0,16.0,4.0,64.0,,,1102.3464,40.50871289364791,30.894600000000004,6.6854873644335004,21.89033333333333,0.2503604068804265,1008.6543333333333,40.77647748804859
674,prefill_and_decode,512.0,16.0,4.0,96.0,,,1086.6786,35.29710193911102,25.770799999999998,4.0338364741273285,20.727333333333334,0.1447768397684307,1018.8246666666668,58.62908734010221
675,prefill_and_decode,512.0,16.0,4.0,128.0,,,1306.7022000000002,45.61929525650308,20.2298,0.7587850156664949,14.940666666666667,0.27300976783502373,1257.0896666666667,39.0181094151591
676,prefill_and_decode,512.0,16.0,4.0,160.0,,,1426.6882,79.21349697936576,20.6472,1.0604841818716584,14.994666666666667,0.2502005861970225,1408.8369999999998,2.100488514608096
677,prefill_and_decode,512.0,16.0,4.0,304.0,,,880.9198,77.27961274941792,151.93959999999998,77.40834034391902,13.684666666666667,0.34076433694465974,807.6076666666667,52.70681421157356
678,prefill_and_decode,512.0,16.0,8.0,32.0,,,994.3154000000001,39.55939603052602,58.3332,14.429551801771252,42.297,0.0800000000000054,900.5003333333334,34.9894252786943
679,prefill_and_decode,512.0,16.0,8.0,64.0,,,1073.9294,46.54049474167635,31.2392,6.505134256877407,22.759,0.30605064940300303,1008.6543333333333,40.77647748804859
680,prefill_and_decode,512.0,16.0,8.0,96.0,,,1106.7243999999998,44.47691593737145,26.1798,2.8311129790243266,21.676333333333332,0.1011945321316,1018.8246666666668,58.62908734010221
681,prefill_and_decode,512.0,16.0,8.0,128.0,,,1319.5152,51.84255348360069,21.080000000000002,1.6728112565379278,14.46,0.26688386987601853,1257.0896666666667,39.0181094151591
682,prefill_and_decode,512.0,16.0,8.0,160.0,,,1435.958,83.24364943345526,20.7594,1.2620377569629202,14.62,0.023388031127052615,1408.8369999999998,2.100488514608096
683,prefill_and_decode,512.0,16.0,8.0,304.0,,,882.0582,69.61519671881997,153.5274,76.35160075466656,13.618,0.23551645377765035,807.6076666666667,52.70681421157356
684,prefill_and_decode,512.0,16.0,16.0,32.0,,,991.9977999999999,52.48116253190282,59.0954,14.355635019043913,43.82033333333334,0.223788590713054,900.5003333333334,34.9894252786943
685,prefill_and_decode,512.0,16.0,16.0,64.0,,,1086.3898,40.85298365725568,32.089600000000004,7.223518207909495,23.761333333333337,0.2017927980214682,1008.6543333333333,40.77647748804859
686,prefill_and_decode,512.0,16.0,16.0,96.0,,,1081.8998,49.16802537930522,27.021800000000002,2.5567197147908107,22.358,1.1351982205764766,1018.8246666666668,58.62908734010221
687,prefill_and_decode,512.0,16.0,16.0,128.0,,,1318.0882,50.58015999579286,21.697200000000002,1.6024441331915442,15.021,0.12209422590769843,1257.0896666666667,39.0181094151591
688,prefill_and_decode,512.0,16.0,16.0,160.0,,,1427.3700000000001,82.6475534907114,20.8718,0.9500082631219585,15.315333333333333,0.2777054794802091,1408.8369999999998,2.100488514608096
689,prefill_and_decode,512.0,16.0,16.0,304.0,,,877.3194,57.17946378115135,154.4412,77.0206040108749,14.660333333333334,0.9404490062376228,807.6076666666667,52.70681421157356
690,prefill_and_decode,512.0,16.0,32.0,32.0,,,978.8316000000001,62.063843365521585,93.51820000000001,19.798427442602602,72.03166666666667,0.20132891827388988,900.5003333333334,34.9894252786943
691,prefill_and_decode,512.0,16.0,32.0,64.0,,,1102.4104,31.994479481623117,50.6918,10.728392293349456,37.980333333333334,0.2957944105850093,1008.6543333333333,40.77647748804859
692,prefill_and_decode,512.0,16.0,32.0,96.0,,,1086.085,37.92821580301393,36.8686,6.8636814684249465,29.026333333333337,0.26283137813688107,1018.8246666666668,58.62908734010221
693,prefill_and_decode,512.0,16.0,32.0,128.0,,,1317.4866,47.25478520531026,26.412599999999998,4.089075360029453,21.249,0.18330302779823368,1257.0896666666667,39.0181094151591
694,prefill_and_decode,512.0,16.0,32.0,160.0,,,1429.6552,71.97857884607053,25.1374,2.7796905043547566,21.86366666666667,0.37223693171598904,1408.8369999999998,2.100488514608096
695,prefill_and_decode,512.0,16.0,32.0,304.0,,,893.8531999999999,70.3556048705432,164.86520000000002,83.33195790151578,15.689,0.48368274726312094,807.6076666666667,52.70681421157356
696,prefill_and_decode,512.0,16.0,64.0,32.0,,,989.3435999999999,45.25811998194362,142.47,40.16144206200767,82.76233333333333,0.15143755588800406,900.5003333333334,34.9894252786943
697,prefill_and_decode,512.0,16.0,64.0,64.0,,,1071.8926,38.58153056580317,68.4284,15.11191843546014,43.592999999999996,0.28147291166291477,1008.6543333333333,40.77647748804859
698,prefill_and_decode,512.0,16.0,64.0,96.0,,,1088.5144,45.12503798114746,53.2178,8.200052481539371,38.26066666666667,0.10119453213160087,1018.8246666666668,58.62908734010221
699,prefill_and_decode,512.0,16.0,64.0,128.0,,,1295.404,37.98986543803494,42.224599999999995,3.428859110549748,36.016,0.2899430978657688,1257.0896666666667,39.0181094151591
700,prefill_and_decode,512.0,16.0,64.0,160.0,,,1404.67,87.90227864509531,37.9748,2.6921146335176718,32.79533333333333,0.24050017325011078,1408.8369999999998,2.100488514608096
701,prefill_and_decode,512.0,16.0,64.0,304.0,,,892.8268,69.78883272916948,251.9206,155.01440873770412,19.752,0.18532943640987226,807.6076666666667,52.70681421157356
702,prefill_and_decode,512.0,16.0,128.0,32.0,,,974.574,59.64978071627757,218.516,49.27315336976109,142.045,0.28078639568185154,900.5003333333334,34.9894252786943
703,prefill_and_decode,512.0,16.0,128.0,64.0,,,1088.4268,24.467579257049568,108.56880000000001,23.00299389644748,74.35666666666667,0.381174937965934,1008.6543333333333,40.77647748804859
704,prefill_and_decode,512.0,16.0,128.0,96.0,,,1086.2138,36.57772709176991,80.2236,12.811636714331236,57.59866666666667,0.3504487599255191,1018.8246666666668,58.62908734010221
705,prefill_and_decode,512.0,16.0,128.0,128.0,,,1286.1428,26.70143795191581,57.1708,7.943085968312313,41.57533333333333,0.31298615517836276,1257.0896666666667,39.0181094151591
706,prefill_and_decode,512.0,16.0,128.0,160.0,,,1407.773,81.83823284993386,52.1434,5.789883919389057,40.18533333333333,0.12951576480619303,1408.8369999999998,2.100488514608096
